PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
40095,439900000,2021,1,2,6,48,37,247,0.906062,1.620286,-15.635726,33.97369402,-117.7738442,347.117403,0.082605,-0.469959,-0.003451
40096,442400000,2021,1,2,6,48,37,247,0.905927,1.619989,-15.635664,33.97369401,-117.7738442,347.117394,0.082607,-0.470178,-0.003406
40097,444900000,2021,1,2,6,48,37,247,0.906028,1.619875,-15.635236,33.973694,-117.7738442,347.117386,0.082575,-0.470438,-0.003463
40098,447400000,2021,1,2,6,48,37,247,0.905811,1.620218,-15.635159,33.97369399,-117.7738442,347.117377,0.082556,-0.470676,-0.003403
40099,449900000,2021,1,2,6,48,37,247,0.905739,1.62062,-15.634455,33.97369398,-117.7738442,347.117557,0.082465,-0.470948,-0.003348
40100,452400000,2021,1,2,6,48,37,247,0.905285,1.621403,-15.634737,33.97369397,-117.7738442,347.117549,0.082458,-0.471191,-0.003379
40101,454900000,2021,1,2,6,48,37,247,0.905839,1.621424,-15.634897,33.97369396,-117.7738442,347.11754,0.082409,-0.471412,-0.003322
40102,457400000,2021,1,2,6,48,37,247,0.906306,1.622024,-15.634372,33.97369395,-117.7738442,347.117532,0.082369,-0.471626,-0.003309
40103,459900000,2021,1,2,6,48,37,247,0.906278,1.622001,-15.633651,33.97369394,-117.7738442,347.117523,0.082377,-0.471913,-0.003338
40104,462400000,2021,1,2,6,48,37,247,0.906644,1.62182,-15.632946,33.97369393,-117.7738442,347.117515,0.082376,-0.472252,-0.003349
40105,464900000,2021,1,2,6,48,37,247,0.907431,1.62211,-15.632505,33.97369392,-117.7738442,347.117507,0.082374,-0.472578,-0.003375
40106,467400000,2021,1,2,6,48,37,247,0.907632,1.622262,-15.632255,33.9736939,-117.7738442,347.117498,0.08234,-0.472895,-0.003384
40107,469900000,2021,1,2,6,48,37,247,0.908165,1.621274,-15.632493,33.97369389,-117.7738442,347.115182,0.082371,-0.473142,-0.004205
40108,472400000,2021,1,2,6,48,37,247,0.907912,1.620618,-15.632942,33.97369388,-117.7738442,347.115171,0.082492,-0.473395,-0.00424
40109,474900000,2021,1,2,6,48,37,247,0.907561,1.619905,-15.633307,33.97369387,-117.7738442,347.115161,0.082516,-0.473627,-0.004313
40110,477400000,2021,1,2,6,48,37,247,0.90796,1.618431,-15.633711,33.97369386,-117.7738442,347.11515,0.082538,-0.473796,-0.004332
40111,479900000,2021,1,2,6,48,37,247,0.908109,1.617828,-15.634677,33.97369385,-117.7738442,347.115139,0.082541,-0.474014,-0.00429
40112,482400000,2021,1,2,6,48,37,247,0.908421,1.617604,-15.634549,33.97369384,-117.7738442,347.115128,0.08253,-0.474219,-0.004252
40113,484900000,2021,1,2,6,48,37,247,0.908259,1.616605,-15.634593,33.97369383,-117.7738442,347.115118,0.082501,-0.474403,-0.00419
40114,487400000,2021,1,2,6,48,37,247,0.908459,1.615826,-15.634295,33.97369382,-117.7738442,347.115108,0.082573,-0.474635,-0.004128
40115,489900000,2021,1,2,6,48,37,247,0.908968,1.616137,-15.633689,33.97369381,-117.7738442,347.112801,0.082598,-0.474746,-0.00497
40116,492400000,2021,1,2,6,48,37,247,0.909705,1.616291,-15.634081,33.9736938,-117.7738442,347.112788,0.082709,-0.474966,-0.004943
40117,494900000,2021,1,2,6,48,37,247,0.910141,1.616341,-15.633936,33.97369379,-117.7738442,347.112776,0.082897,-0.47526,-0.00495
40118,497400000,2021,1,2,6,48,37,247,0.910481,1.616277,-15.634022,33.97369378,-117.7738442,347.112763,0.082967,-0.475552,-0.004954
40119,499900000,2021,1,2,6,48,37,247,0.911268,1.616636,-15.633837,33.97369377,-117.7738442,347.112751,0.08311,-0.475759,-0.004972
40120,502400000,2021,1,2,6,48,37,247,0.911655,1.616625,-15.633858,33.97369376,-117.7738442,347.112738,0.083222,-0.475919,-0.004959
40121,504900000,2021,1,2,6,48,37,247,0.911907,1.615806,-15.633347,33.97369374,-117.7738442,347.112726,0.083299,-0.476113,-0.00499
40122,507400000,2021,1,2,6,48,37,247,0.912059,1.616069,-15.633176,33.97369373,-117.7738442,347.112714,0.083397,-0.476289,-0.005034
40123,509900000,2021,1,2,6,48,37,247,0.911381,1.616388,-15.633305,33.97369372,-117.7738442,347.112938,0.083487,-0.476493,-0.004995
40124,512400000,2021,1,2,6,48,37,247,0.911353,1.616376,-15.632283,33.97369371,-117.7738442,347.112926,0.083601,-0.476624,-0.005091
40125,514900000,2021,1,2,6,48,37,247,0.911589,1.616084,-15.632635,33.9736937,-117.7738442,347.112913,0.083726,-0.476877,-0.005083
40126,517400000,2021,1,2,6,48,37,247,0.911507,1.61606,-15.633069,33.97369369,-117.7738441,347.1129,0.083814,-0.477005,-0.005114
40127,519900000,2021,1,2,6,48,37,247,0.911701,1.616261,-15.632155,33.97369368,-117.7738441,347.112887,0.083872,-0.47712,-0.0052
40128,522400000,2021,1,2,6,48,37,247,0.912085,1.616396,-15.632179,33.97369367,-117.7738441,347.112874,0.083932,-0.477309,-0.005197
40129,524900000,2021,1,2,6,48,37,247,0.913701,1.617001,-15.631827,33.97369366,-117.7738441,347.112861,0.083979,-0.47758,-0.005238
40130,527400000,2021,1,2,6,48,37,247,0.913733,1.617666,-15.631179,33.97369365,-117.7738441,347.112848,0.084002,-0.477839,-0.00527
40131,529900000,2021,1,2,6,48,37,247,0.913941,1.618434,-15.630929,33.97369364,-117.7738441,347.118171,0.084047,-0.478014,-0.003208
40132,532400000,2021,1,2,6,48,37,247,0.913489,1.618784,-15.630456,33.97369363,-117.7738441,347.118163,0.084067,-0.478188,-0.003276
40133,534900000,2021,1,2,6,48,37,247,0.91343,1.619254,-15.629905,33.97369362,-117.7738441,347.118155,0.084037,-0.47845,-0.003201
40134,537400000,2021,1,2,6,48,37,247,0.914088,1.619362,-15.629911,33.97369361,-117.7738441,347.118147,0.084019,-0.478571,-0.003156
40135,539900000,2021,1,2,6,48,37,247,0.914081,1.619751,-15.629751,33.97369359,-117.7738441,347.118139,0.084,-0.478829,-0.003187
40136,542400000,2021,1,2,6,48,37,247,0.913766,1.61947,-15.62964,33.97369358,-117.7738441,347.118131,0.083916,-0.479118,-0.003237
40137,544900000,2021,1,2,6,48,37,247,0.913786,1.619177,-15.629283,33.97369357,-117.7738441,347.118123,0.083864,-0.479295,-0.003299
40138,547400000,2021,1,2,6,48,37,247,0.912921,1.619015,-15.628293,33.97369356,-117.7738441,347.118114,0.083835,-0.479572,-0.00333
40139,549900000,2021,1,2,6,48,37,247,0.912762,1.618889,-15.627786,33.97369355,-117.7738441,347.115742,0.08387,-0.479828,-0.004226
