"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.004379160702228546,0.737954318523407,-0.1977377533912659,0.004379160597811973,0.7379543380156657,-0.1977377504583258,20.0,0.0,34.0,0.764,2750507180414.0,107180414.0,-15.0
0.004092148505151272,0.6698854565620422,0.01169311255216599,0.004092148292809679,0.6698854569602073,0.01169311231297995,7.0,1.0,35.0,0.67,2750507180416.0,107180416.0,1.0
0.004554847721010447,0.7249169945716858,-0.1673635840415955,0.004554847900225817,0.724917018676437,-0.1673635844318356,27.0,2.0,36.0,0.744,2750507180419.0,107180419.0,-13.0
0.004668948240578175,0.7229927182197571,0.03789123147726059,0.004668948092478665,0.7229927077343102,0.03789123231989133,100.0,3.0,37.0,0.724,2750507180421.0,107180421.0,3.0
0.004665524233132601,0.72246253490448,-0.1404354274272919,0.004665524388117893,0.7224625426441769,-0.140435420597137,69.0,4.0,37.0,0.736,2750507180423.0,107180423.0,-11.0
0.004849512130022049,0.7311908006668091,0.06397231668233871,0.004849512312093116,0.73119082674857,0.06397231517678109,90.0,5.0,38.0,0.734,2750507180426.0,107180426.0,5.0
0.004948075860738754,0.726921796798706,-0.1151357665657997,0.004948076009269336,0.7269217783704903,-0.1151357662696099,23.0,6.0,39.0,0.736,2750507180428.0,107180428.0,-9.0
0.00522463396191597,0.7483615875244141,0.09188948571681976,0.005224634173930458,0.7483615608497745,0.0918894849274812,100.0,7.0,40.0,0.754,2750507180430.0,107180430.0,7.0
0.005270018242299557,0.7364503741264343,-0.09042705595493317,0.005270018417641964,0.7364503887069288,-0.09042705280661943,14.0,8.0,41.0,0.742,2750507180433.0,107180433.0,-7.0
0.005314902402460575,0.7427226305007935,0.1176387146115303,0.005314902299041869,0.7427226157247664,0.1176387177102536,100.0,9.0,41.0,0.752,2750507180435.0,107180435.0,9.0
0.005272349342703819,0.7192332744598389,-0.06292644888162613,0.005272349506643413,0.7192332477654851,-0.0629264462638092,26.0,10.0,42.0,0.722,2750507180437.0,107180437.0,-5.0
0.005422082729637623,0.7224572896957397,0.1404354274272919,0.005422082697169384,0.7224572607849756,0.140435420597137,78.0,11.0,43.0,0.736,2750507180439.0,107180439.0,11.0
0.005693538580089808,0.7249089479446411,0.1673635840415955,0.005693538802806357,0.7249089696106875,0.1673635844318356,100.0,13.0,45.0,0.744,2750507180444.0,107180444.0,13.0
0.005754110869020224,0.7166938781738281,0.192043736577034,0.005754110757145517,0.7166938645014218,0.1920437314660704,100.0,15.0,46.0,0.742,2750507180449.0,107180449.0,15.0
0.006918661296367645,0.7340710163116455,-0.1967024803161621,0.006918661266167855,0.734071024315243,-0.1967024742779158,20.0,0.0,54.0,0.76,2750507180469.0,107180469.0,-15.0
0.006990021094679833,0.7151534557342529,-0.1651140749454498,0.006990020875657439,0.7151534675942883,-0.1651140738883969,25.0,2.0,56.0,0.734,2750507180474.0,107180474.0,-13.0
0.007192634977400303,0.7229719758033752,0.03789123147726059,0.007192635166098332,0.722972005345053,0.03789123231989133,100.0,3.0,57.0,0.724,2750507180476.0,107180476.0,3.0
0.00697252107784152,0.7008471488952637,-0.1362376213073731,0.006972521270117753,0.7008471260613849,-0.136237622698853,74.0,4.0,57.0,0.714,2750507180479.0,107180479.0,-11.0
0.007502657361328602,0.7411308884620667,0.06484387069940567,0.007502657228442021,0.7411308806953029,0.06484387260425767,88.0,5.0,58.0,0.744,2750507180481.0,107180481.0,5.0
0.007627862971276045,0.7407270073890686,-0.1173258498311043,0.007627863177638838,0.7407269813577437,-0.1173258487801732,30.0,6.0,59.0,0.75,2750507180483.0,107180483.0,-9.0
0.007795296609401703,0.7443687915802002,0.09140200912952423,0.007795296769048862,0.7443687972795517,0.0914020075538606,100.0,7.0,60.0,0.75,2750507180486.0,107180486.0,7.0
0.007713874336332083,0.7245176434516907,-0.08896461874246597,0.007713874486255799,0.7245176273953929,-0.08896462068575765,15.0,8.0,61.0,0.73,2750507180488.0,107180488.0,-7.0
0.007908829487860203,0.7308465838432312,0.1157615035772324,0.007908829776733836,0.7308465807357765,0.1157615041297709,100.0,9.0,62.0,0.74,2750507180490.0,107180490.0,9.0
0.007998502813279629,0.7391331791877747,-0.06466956436634064,0.00799850301300124,0.7391331894958159,-0.06466956111876236,24.0,10.0,62.0,0.742,2750507180492.0,107180492.0,-5.0
0.007900722324848175,0.7185076475143433,0.139672189950943,0.007900722775285016,0.7185076613539519,0.1396721846156308,80.0,11.0,63.0,0.732,2750507180495.0,107180495.0,11.0
0.008069157600402832,0.7112444043159485,0.1642142683267593,0.008069157667533121,0.7112443759573425,0.1642142696710215,100.0,13.0,65.0,0.73,2750507180499.0,107180499.0,13.0
0.008471246808767319,0.7243948578834534,0.1941142827272415,0.008471246397710637,0.7243948390200214,0.1941142838268906,96.0,15.0,67.0,0.75,2750507180504.0,107180504.0,15.0
0.009406154975295067,0.728247344493866,-0.1951495558023453,0.009406155134359554,0.7282473298780747,-0.1951495600073006,20.0,0.0,74.0,0.754,2750507180525.0,107180525.0,-15.0
0.00966726802289486,0.7287647128105164,-0.168263390660286,0.009667267923509732,0.7287646917703818,-0.168263388649211,27.0,2.0,76.0,0.748,2750507180529.0,107180529.0,-13.0
0.009769915603101254,0.7269366383552551,0.03810057789087296,0.009769915453870508,0.7269366511942107,0.03810057614486311,100.0,3.0,77.0,0.728,2750507180532.0,107180532.0,3.0
0.00944527518004179,0.702781617641449,-0.1366192400455475,0.00944527525400395,0.7027815946997841,-0.1366192406896061,100.0,4.0,77.0,0.716,2750507180534.0,107180534.0,-11.0
0.01006251852959395,0.7391079664230347,0.06466956436634064,0.01006251838618389,0.7391079715362529,0.06466956111876236,93.0,5.0,78.0,0.742,2750507180536.0,107180536.0,5.0
0.01040408760309219,0.7545221447944641,-0.1195159330964088,0.01040408720450484,0.754522164775263,-0.1195159312907364,28.0,6.0,79.0,0.764,2750507180539.0,107180539.0,-9.0
0.0105598783120513,0.7562464475631714,0.09286443889141083,0.01055987857347526,0.7562464444930721,0.09286443967472238,97.0,7.0,80.0,0.762,2750507180541.0,107180541.0,7.0
0.01010255236178637,0.7145618200302124,-0.08774592727422714,0.01010255273962021,0.7145618172550793,-0.08774592725170619,15.0,8.0,81.0,0.72,2750507180543.0,107180543.0,-7.0
0.01038821134716272,0.7347667217254639,0.116387240588665,0.010388211489369,0.7347666942397629,0.1163872419899318,100.0,9.0,81.0,0.744,2750507180545.0,107180545.0,9.0
0.01026486232876778,0.7171867489814758,-0.0627521350979805,0.01026486203515095,0.7171867275599595,-0.06275213477831387,21.0,10.0,82.0,0.72,2750507180548.0,107180548.0,-5.0
0.01040873397141695,0.7184756994247437,0.139672189950943,0.01040873442633243,0.7184757052902618,0.1396721846156308,72.0,11.0,83.0,0.732,2750507180550.0,107180550.0,11.0
0.01066745072603226,0.7190060019493103,0.1660138815641403,0.010667451020393,0.7190059789494169,0.1660138781057724,100.0,13.0,85.0,0.738,2750507180555.0,107180555.0,13.0
0.01069940533488989,0.7127729654312134,0.191008448600769,0.01069940559731069,0.712772960155792,0.1910084552856603,97.0,15.0,86.0,0.738,2750507180559.0,107180559.0,15.0
0.01182138454169035,0.7204837203025818,-0.1930790096521378,0.01182138452192373,0.7204836928579544,-0.1930790076464805,22.0,0.0,94.0,0.746,2750507180580.0,107180580.0,-15.0
0.01224372256547213,0.7306749820709229,-0.1687132865190506,0.01224372245644921,0.7306749734198169,-0.1687132907578988,28.0,2.0,96.0,0.75,2750507180585.0,107180585.0,-13.0
0.01237496081739664,0.7308920621871948,0.03830992057919502,0.0123749611208365,0.730892064787382,0.03830991996983488,100.0,3.0,97.0,0.732,2750507180587.0,107180587.0,3.0
